Id,Carriers,Total_Number,Average_Departure_Delay,Average_Taxi_Out,Average_Departure_to_Take-off(scheduled),Average_Arrival_Delay,Average_Airborne_Time,Average_Taxi_In,Number_Cancelled,Percent_Cancelled,Number_Diverted,Percent_Diverted
30-a,OO,6,-3.83,18.00,14.16,-14.00,93.83,7.16,0,0.00,0,0.00
30-a,UA,240,9.76,19.72,17.49,5.55,90.26,7.01,0,0.00,0,0.00
30-a,WN,397,5.22,14.90,20.13,-5.99,90.90,4.24,8,2.01,0,0.00
30-b,ALL*,619,8.20,15.83,19.33,1.36,92.03,7.02,7,1.13,0,0.00
30-b,F9,119,7.71,18.38,26.10,5.10,92.54,13.47,0,0.00,0,0.00
30-b,NK,60,23.05,16.45,39.50,19.72,91.27,6.10,1,1.66,0,0.00
30-b,OO,5,-3.40,18.00,14.60,-10.40,95.60,7.60,0,0.00,0,0.00
30-b,UA,163,10.65,17.14,10.12,5.54,91.31,7.20,0,0.00,0,0.00
30-b,WN,272,3.86,13.70,17.56,-6.73,92.34,4.22,6,2.20,0,0.00
30-c,ALL*,949,5.72,18.14,23.49,-3.63,68.00,8.37,15,1.58,0,0.00
30-c,AS,309,5.76,20.54,26.31,-1.16,68.74,7.84,6,1.94,0,0.00
30-c,F9,44,8.04,20.31,28.36,1.93,67.70,14.77,0,0.00,0,0.00
30-c,UA,351,6.03,18.47,23.51,-3.47,67.24,9.49,2,0.56,0,0.00
30-c,WN,245,4.77,14.20,18.98,-8.03,68.23,6.21,7,2.85,0,0.00
